question_id,question,model,original_aql,final_aql,valid,corrected,correction_attempts,generation_time,validation_errors,validation_warnings,privacy_allowed,privacy_reason,history,generation_error
Q001,Give me all the moroccan restaurants in Texas,Mistral,"FOR b IN Businesses
FILTER b.name FILTERED_JSON_OBJECT(@.business_type, 'Restaurants') AND b.state == ""Texas""
FILTER b.name FILTERED_JSON_OBJECT(@.category, 'Moroccan')
RETURN b

Here, `FILTERED_JSON_OBJECT` is a custom function that extracts a specific property from the `name` field of the document, assuming that the name of the business follows the pattern: `{business_type} {business_name}`. This pattern allows for easier filtering of specific types of businesses (in this case, restaurants) and categories.","FOR b IN Businesses
FILTER b.name FILTERED_JSON_OBJECT(@.business_type, 'Restaurants') AND b.state == ""Texas""
FILTER b.name FILTERED_JSON_OBJECT(@.category, 'Moroccan')
RETURN b

Here, `FILTERED_JSON_OBJECT` is a custom function that extracts a specific property from the `name` field of the document, assuming that the name of the business follows the pattern: `{business_type} {business_name}`. This pattern allows for easier filtering of specific types of businesses (in this case, restaurants) and categories.",True,False,0,5.1252217292785645,[],"[""No LIMIT detected. A LIMIT is recommended for queries that may return many documents.""]",True,,"[{""step"": ""privacy_check"", ""aql"": ""FOR b IN Businesses\nFILTER b.name FILTERED_JSON_OBJECT(@.business_type, 'Restaurants') AND b.state == \""Texas\""\nFILTER b.name FILTERED_JSON_OBJECT(@.category, 'Moroccan')\nRETURN b\n\nHere, `FILTERED_JSON_OBJECT` is a custom function that extracts a specific property from the `name` field of the document, assuming that the name of the business follows the pattern: `{business_type} {business_name}`. This pattern allows for easier filtering of specific types of businesses (in this case, restaurants) and categories."", ""privacy"": {""allowed"": true, ""sensitive_fields"": [], ""reason"": null}}]",
Q002,List all the Italian restaurants in Los Angeles,Mistral,"FOR b IN Businesses
    FILTER b.city == ""Los Angeles""

    LET categories = (
        FOR c IN 1..1 OUTBOUND b BusinessCategory
            RETURN c.category_name
    )

    FILTER ""Italian"" IN categories
    FILTER ""Restaurants"" IN categories

    RETURN b","FOR b IN Businesses
    FILTER b.city == ""Los Angeles""

    LET categories = (
        FOR c IN 1..1 OUTBOUND b BusinessCategory
            RETURN c.category_name
    )

    FILTER ""Italian"" IN categories
    FILTER ""Restaurants"" IN categories

    RETURN b",True,False,0,3.8873987197875977,[],"[""No LIMIT detected. A LIMIT is recommended for queries that may return many documents.""]",True,,"[{""step"": ""privacy_check"", ""aql"": ""FOR b IN Businesses\n    FILTER b.city == \""Los Angeles\""\n\n    LET categories = (\n        FOR c IN 1..1 OUTBOUND b BusinessCategory\n            RETURN c.category_name\n    )\n\n    FILTER \""Italian\"" IN categories\n    FILTER \""Restaurants\"" IN categories\n\n    RETURN b"", ""privacy"": {""allowed"": true, ""sensitive_fields"": [], ""reason"": null}}]",
Q003,find the number of preschools in Madison,Mistral,"LET businesses = (
    FOR b IN Businesses
        FILTER b.city == ""Madison""
        FILTER b.category_name IN [
            ""Preschool"",
            ""Preschools""
        ]

        RETURN DISTINCT b._id
)

RETURN LENGTH(businesses)","LET matching_businesses = (
    FOR b IN Businesses
        FILTER b.city == ""Madison""

        FOR c IN 1..1 OUTBOUND b BusinessCategory
            FILTER c.category_name == ""Preschools""

            RETURN DISTINCT b._id
)

RETURN LENGTH(matching_businesses)",True,True,0,3.1706700325012207,[],[],True,,"[{""step"": ""schema_repair"", ""strategy"": ""schema_guided_category_count"", ""previous_aql"": ""LET businesses = (\n    FOR b IN Businesses\n        FILTER b.city == \""Madison\""\n        FILTER b.category_name IN [\n            \""Preschool\"",\n            \""Preschools\""\n        ]\n\n        RETURN DISTINCT b._id\n)\n\nRETURN LENGTH(businesses)"", ""aql"": ""LET matching_businesses = (\n    FOR b IN Businesses\n        FILTER b.city == \""Madison\""\n\n        FOR c IN 1..1 OUTBOUND b BusinessCategory\n            FILTER c.category_name == \""Preschools\""\n\n            RETURN DISTINCT b._id\n)\n\nRETURN LENGTH(matching_businesses)"", ""validation"": {""valid"": true, ""errors"": [], ""warnings"": [], ""used_collections"": [""BusinessCategory"", ""Businesses""], ""invalid_attributes"": []}}, {""step"": ""privacy_check"", ""aql"": ""LET matching_businesses = (\n    FOR b IN Businesses\n        FILTER b.city == \""Madison\""\n\n        FOR c IN 1..1 OUTBOUND b BusinessCategory\n            FILTER c.category_name == \""Preschools\""\n\n            RETURN DISTINCT b._id\n)\n\nRETURN LENGTH(matching_businesses)"", ""privacy"": {""allowed"": true, ""sensitive_fields"": [], ""reason"": null}}]",
Q004,List all the restaurants rated more than 3.5,Mistral,"FOR b IN Businesses
FILTER b.rating > 3.5
RETURN b","FOR b IN Businesses
FILTER b.rating > 3.5
RETURN b",True,False,0,1.353764295578003,[],"[""No LIMIT detected. A LIMIT is recommended for queries that may return many documents.""]",True,,"[{""step"": ""privacy_check"", ""aql"": ""FOR b IN Businesses\nFILTER b.rating > 3.5\nRETURN b"", ""privacy"": {""allowed"": true, ""sensitive_fields"": [], ""reason"": null}}]",
Q005,List all the businesses with more than 4.5 stars,Mistral,"FOR b IN Businesses
FILTER b.rating > 4.5

RETURN {
    business_id: b.business_id,
    name: b.name,
    city: b.city,
    state: b.state,
    rating: b.rating
}","FOR b IN Businesses
FILTER b.rating > 4.5

RETURN {
    business_id: b.business_id,
    name: b.name,
    city: b.city,
    state: b.state,
    rating: b.rating
}",True,False,0,2.759927749633789,[],"[""No LIMIT detected. A LIMIT is recommended for queries that may return many documents.""]",True,,"[{""step"": ""privacy_check"", ""aql"": ""FOR b IN Businesses\nFILTER b.rating > 4.5\n\nRETURN {\n    business_id: b.business_id,\n    name: b.name,\n    city: b.city,\n    state: b.state,\n    rating: b.rating\n}"", ""privacy"": {""allowed"": true, ""sensitive_fields"": [], ""reason"": null}}]",
Q006,find the number of restaurants rated more than 3.5,Mistral,"LET restaurants = (
    FOR b IN Businesses
        FILTER b.categories.category_name == ""Restaurants""
        FILTER b.rating > 3.5
        RETURN DISTINCT b._id
)

RETURN LENGTH(restaurants)","LET restaurants = (
    FOR b IN Businesses
        FILTER b.rating > 3.5
        FOR c IN 1..1 OUTBOUND b BusinessCategory
            FILTER c.category_name == ""Restaurants""
            RETURN DISTINCT b._id
)

RETURN LENGTH(restaurants)",True,True,1,7.4811506271362305,[],[],True,,"[{""step"": ""llm_validation_correction"", ""attempt"": 1, ""previous_aql"": ""LET restaurants = (\n    FOR b IN Businesses\n        FILTER b.categories.category_name == \""Restaurants\""\n        FILTER b.rating > 3.5\n        RETURN DISTINCT b._id\n)\n\nRETURN LENGTH(restaurants)"", ""aql"": ""LET restaurants = (\n    FOR b IN Businesses\n        FILTER b.rating > 3.5\n        FOR c IN 1..1 OUTBOUND b BusinessCategory\n            FILTER c.category_name == \""Restaurants\""\n            RETURN DISTINCT b._id\n)\n\nRETURN LENGTH(restaurants)"", ""validation"": {""valid"": true, ""errors"": [], ""warnings"": [], ""used_collections"": [""BusinessCategory"", ""Businesses""], ""invalid_attributes"": []}, ""generation_time"": 4.417516231536865}, {""step"": ""privacy_check"", ""aql"": ""LET restaurants = (\n    FOR b IN Businesses\n        FILTER b.rating > 3.5\n        FOR c IN 1..1 OUTBOUND b BusinessCategory\n            FILTER c.category_name == \""Restaurants\""\n            RETURN DISTINCT b._id\n)\n\nRETURN LENGTH(restaurants)"", ""privacy"": {""allowed"": true, ""sensitive_fields"": [], ""reason"": null}}]",
Q007,Which Thai restaurant has the most number of reviews,Mistral,"FOR b IN Businesses
    FILTER b.category_name == ""Thai"" AND b.city == ""Dallas""

    SORT b.review_count DESC
    LIMIT 1

    RETURN {
        business_id: b.business_id,
        name: b.name,
        rating: b.rating,
        review_count: b.review_count
    }","FOR b IN Businesses
    LET categories = (
        FOR c IN 1..1 OUTBOUND b BusinessCategory
            RETURN c.category_name
    )
    FILTER ""Thai"" IN categories
    FILTER b.city == ""Dallas""
    SORT b.review_count DESC
    LIMIT 1

    RETURN {
        business_id: b.business_id,
        name: b.name,
        rating: b.rating,
        review_count: b.review_count
    }",True,True,1,9.695860624313354,[],[],True,,"[{""step"": ""llm_validation_correction"", ""attempt"": 1, ""previous_aql"": ""FOR b IN Businesses\n    FILTER b.category_name == \""Thai\"" AND b.city == \""Dallas\""\n\n    SORT b.review_count DESC\n    LIMIT 1\n\n    RETURN {\n        business_id: b.business_id,\n        name: b.name,\n        rating: b.rating,\n        review_count: b.review_count\n    }"", ""aql"": ""FOR b IN Businesses\n    LET categories = (\n        FOR c IN 1..1 OUTBOUND b BusinessCategory\n            RETURN c.category_name\n    )\n    FILTER \""Thai\"" IN categories\n    FILTER b.city == \""Dallas\""\n    SORT b.review_count DESC\n    LIMIT 1\n\n    RETURN {\n        business_id: b.business_id,\n        name: b.name,\n        rating: b.rating,\n        review_count: b.review_count\n    }"", ""validation"": {""valid"": true, ""errors"": [], ""warnings"": [], ""used_collections"": [""BusinessCategory"", ""Businesses""], ""invalid_attributes"": []}, ""generation_time"": 6.249366760253906}, {""step"": ""privacy_check"", ""aql"": ""FOR b IN Businesses\n    LET categories = (\n        FOR c IN 1..1 OUTBOUND b BusinessCategory\n            RETURN c.category_name\n    )\n    FILTER \""Thai\"" IN categories\n    FILTER b.city == \""Dallas\""\n    SORT b.review_count DESC\n    LIMIT 1\n\n    RETURN {\n        business_id: b.business_id,\n        name: b.name,\n        rating: b.rating,\n        review_count: b.review_count\n    }"", ""privacy"": {""allowed"": true, ""sensitive_fields"": [], ""reason"": null}}]",
Q008,find all cities which has a “Taj Mahal” restaurant,Mistral,"FOR b IN Businesses
FILTER b.name == ""Taj Mahal"" AND b.is_open == true
LET city = b.city
RETURN DISTINCT city

For the given schema, the AQL query finds all cities where a business named ""Taj Mahal"" exists and is open. The `LET` statement is used to store the city name for the final `RETURN` statement.","FOR b IN Businesses
FILTER b.name == ""Taj Mahal"" AND b.is_open == true
LET city = b.city
RETURN DISTINCT city

For the given schema, the AQL query finds all cities where a business named ""Taj Mahal"" exists and is open. The `LET` statement is used to store the city name for the final `RETURN` statement.",True,False,0,3.8557639122009277,[],"[""No LIMIT detected. A LIMIT is recommended for queries that may return many documents.""]",True,,"[{""step"": ""privacy_check"", ""aql"": ""FOR b IN Businesses\nFILTER b.name == \""Taj Mahal\"" AND b.is_open == true\nLET city = b.city\nRETURN DISTINCT city\n\nFor the given schema, the AQL query finds all cities where a business named \""Taj Mahal\"" exists and is open. The `LET` statement is used to store the city name for the final `RETURN` statement."", ""privacy"": {""allowed"": true, ""sensitive_fields"": [], ""reason"": null}}]",
Q009,find the total checkins in Moroccan restaurants in Los Angeles,Mistral,"FOR b IN Businesses
    FILTER b.city == ""Los Angeles"" AND b.state == ""California"" AND b.category_name == ""Moroccan""

    FOR ch IN 1..INFINITY OUTBOUND b BusinessCheckin
        RETURN SUM(ch.count)","FOR b IN Businesses
    FILTER b.state == ""California"" AND b.city == ""Los Angeles""
    FOR c IN 1..1 OUTBOUND b BusinessCategory
        FILTER c.category_name == ""Moroccan""

    FOR ch IN 1..INFINITY OUTBOUND c BusinessCheckin
        RETURN SUM(ch.count)",True,True,1,10.601553678512573,[],[],True,,"[{""step"": ""llm_validation_correction"", ""attempt"": 1, ""previous_aql"": ""FOR b IN Businesses\n    FILTER b.city == \""Los Angeles\"" AND b.state == \""California\"" AND b.category_name == \""Moroccan\""\n\n    FOR ch IN 1..INFINITY OUTBOUND b BusinessCheckin\n        RETURN SUM(ch.count)"", ""aql"": ""FOR b IN Businesses\n    FILTER b.state == \""California\"" AND b.city == \""Los Angeles\""\n    FOR c IN 1..1 OUTBOUND b BusinessCategory\n        FILTER c.category_name == \""Moroccan\""\n\n    FOR ch IN 1..INFINITY OUTBOUND c BusinessCheckin\n        RETURN SUM(ch.count)"", ""validation"": {""valid"": true, ""errors"": [], ""warnings"": [], ""used_collections"": [""BusinessCategory"", ""Businesses""], ""invalid_attributes"": []}, ""generation_time"": 7.273248195648193}, {""step"": ""privacy_check"", ""aql"": ""FOR b IN Businesses\n    FILTER b.state == \""California\"" AND b.city == \""Los Angeles\""\n    FOR c IN 1..1 OUTBOUND b BusinessCategory\n        FILTER c.category_name == \""Moroccan\""\n\n    FOR ch IN 1..INFINITY OUTBOUND c BusinessCheckin\n        RETURN SUM(ch.count)"", ""privacy"": {""allowed"": true, ""sensitive_fields"": [], ""reason"": null}}]",
Q010,find the total checkins in Moroccan restaurants in Los Angeles on Fridays,Mistral,"FOR b IN Businesses
    FILTER b.city == ""Los Angeles""

    LET categories = (
        FOR c IN 1..1 OUTBOUND b BusinessCategory
            RETURN c.category_name
    )

    FILTER ""Moroccan"" IN categories
    FILTER ""Restaurants"" IN categories

    FOR ch IN 1..1 OUTBOUND b BusinessCheckin
        FILTER ch.day == ""Friday""
        COLLECT total_checkins = SUM(ch.count)

    RETURN total_checkins","FOR b IN Businesses
    FILTER b.city == ""Los Angeles""

    LET categories = (
        FOR c IN 1..1 OUTBOUND b BusinessCategory
            RETURN c.category_name
    )

    FILTER ""Moroccan"" IN categories
    FILTER ""Restaurants"" IN categories

    FOR ch IN 1..1 OUTBOUND b BusinessCheckin
        FILTER ch.day == ""Friday""
        COLLECT total_checkins = SUM(ch.count)

    RETURN total_checkins",True,False,0,6.219323396682739,[],"[""No LIMIT detected. A LIMIT is recommended for queries that may return many documents.""]",True,,"[{""step"": ""privacy_check"", ""aql"": ""FOR b IN Businesses\n    FILTER b.city == \""Los Angeles\""\n\n    LET categories = (\n        FOR c IN 1..1 OUTBOUND b BusinessCategory\n            RETURN c.category_name\n    )\n\n    FILTER \""Moroccan\"" IN categories\n    FILTER \""Restaurants\"" IN categories\n\n    FOR ch IN 1..1 OUTBOUND b BusinessCheckin\n        FILTER ch.day == \""Friday\""\n        COLLECT total_checkins = SUM(ch.count)\n\n    RETURN total_checkins"", ""privacy"": {""allowed"": true, ""sensitive_fields"": [], ""reason"": null}}]",
