question_id,question,difficulty,question_type,intent,comparison_method,model,model_name,generated_aql,gold_aql,generation_time,generation_error,validation_valid,validation_errors,validation_warnings,privacy_allowed,sensitive_fields,executed,execution_error,gold_executed,gold_execution_error,gold_result_count,generated_result_count,functional_correct,error_category
Q001,Give me all the moroccan restaurants in Texas,medium,graph_filter,,,Mistral,mistral:latest,"FOR b IN Businesses
    LET categories = (
        FOR c IN 1..1 OUTBOUND b BusinessCategory
            RETURN c.category_name
    )
    FILTER ""Moroccan"" IN categories
    FILTER ""Restaurants"" IN categories
    FILTER b.state == ""Texas""
    RETURN b","
FOR b IN Businesses
    FILTER b.state == ""Texas""

    FOR c IN 1..1 OUTBOUND b BusinessCategory
        FILTER c.category_name == ""Moroccan""

        RETURN DISTINCT {
            business_id: b.business_id,
            name: b.name,
            city: b.city,
            state: b.state,
            rating: b.rating
        }
",8.247130870819092,,True,,No LIMIT detected. A LIMIT is recommended for queries that may return many documents.,True,,True,,True,,0.0,0.0,True,correct
Q002,List all the Italian restaurants in Los Angeles,medium,graph_filter,,,Mistral,mistral:latest,"FOR b IN Businesses
    FILTER b.city == ""Los Angeles""

    LET categories = (
        FOR c IN 1..1 OUTBOUND b BusinessCategory
            RETURN c.category_name
    )

    FILTER ""Italian"" IN categories
    FILTER ""Restaurants"" IN categories

    RETURN b","
FOR b IN Businesses
    FILTER b.city == ""Los Angeles""

    FOR c IN 1..1 OUTBOUND b BusinessCategory
        FILTER c.category_name == ""Italian""

        RETURN DISTINCT {
            business_id: b.business_id,
            name: b.name,
            city: b.city,
            rating: b.rating
        }
",14.496273517608644,,True,,No LIMIT detected. A LIMIT is recommended for queries that may return many documents.,True,,True,,True,,0.0,0.0,True,correct
Q003,find the number of preschools in Madison,medium,graph_count,,,Mistral,mistral:latest,"LET preschools = (
    FOR b IN Businesses
        FILTER b.city == ""Madison""

        LET categories = (
            FOR c IN 1..1 OUTBOUND b BusinessCategory
                RETURN c.category_name
        )

        FILTER ""Preschool"" IN categories

        RETURN DISTINCT b._id
)

RETURN LENGTH(preschools)","
LET preschools = (
    FOR b IN Businesses
        FILTER b.city == ""Madison""

        FOR c IN 1..1 OUTBOUND b BusinessCategory
            FILTER c.category_name == ""Preschools""

            RETURN DISTINCT b._id
)

RETURN LENGTH(preschools)
",3.9142699241638175,,True,,,True,,True,,True,,1.0,1.0,False,semantic_result_mismatch
Q004,List all the restaurants rated more than 3.5,medium,graph_filter,,,Mistral,mistral:latest,"FOR b IN Businesses
FILTER b.rating > 3.5
RETURN b","
FOR b IN Businesses
    FILTER b.rating > 3.5

    FOR c IN 1..1 OUTBOUND b BusinessCategory
        FILTER c.category_name == ""Restaurants""

        RETURN DISTINCT {
            business_id: b.business_id,
            name: b.name,
            city: b.city,
            rating: b.rating
        }
",1.7939469814300537,,True,,No LIMIT detected. A LIMIT is recommended for queries that may return many documents.,True,,True,,True,,10605.0,44066.0,False,semantic_result_mismatch
Q005,List all the businesses with more than 4.5 stars,simple,document_filter,,,Mistral,mistral:latest,"FOR b IN Businesses
FILTER b.rating > 4.5
RETURN {
    business_id: b.business_id,
    name: b.name,
    city: b.city,
    state: b.state,
    rating: b.rating
}","
FOR b IN Businesses
    FILTER b.rating > 4.5

    RETURN {
        business_id: b.business_id,
        name: b.name,
        city: b.city,
        state: b.state,
        rating: b.rating
    }
",2.85848331451416,,True,,No LIMIT detected. A LIMIT is recommended for queries that may return many documents.,True,,True,,True,,12964.0,12964.0,True,correct
Q006,find the number of restaurants rated more than 3.5,medium,graph_count,,,Mistral,mistral:latest,"LET restaurants = (
    FOR b IN Businesses
        FILTER b.rating > 3.5
        FILTER b.is_open == true

        FOR c IN 1..1 OUTBOUND b BusinessCategory
            FILTER c.category_name == ""Restaurants""
            RETURN DISTINCT b._id
)

RETURN LENGTH(restaurants)","
LET restaurants = (
    FOR b IN Businesses
        FILTER b.rating > 3.5

        FOR c IN 1..1 OUTBOUND b BusinessCategory
            FILTER c.category_name == ""Restaurants""

            RETURN DISTINCT b._id
)

RETURN LENGTH(restaurants)
",3.7851154804229736,,True,,,True,,True,,True,,1.0,1.0,False,semantic_result_mismatch
Q007,Which Thai restaurant has the most number of reviews,medium,graph_sort_limit,,,Mistral,mistral:latest,"FOR b IN Businesses
    FILTER b.city IS NOT NULL
    LET categories = (
        FOR c IN 1..1 OUTBOUND b BusinessCategory
            RETURN c.category_name
    )
    FILTER ""Thai"" IN categories
    FILTER ""Restaurants"" IN categories
    SORT b.review_count DESC
    LIMIT 1
    RETURN {
        business_id: b.business_id,
        name: b.name,
        rating: b.rating,
        review_count: b.review_count
    }","
FOR b IN Businesses

    FOR c IN 1..1 OUTBOUND b BusinessCategory
        FILTER c.category_name == ""Thai""

        SORT b.review_count DESC
        LIMIT 1

        RETURN {
            business_id: b.business_id,
            name: b.name,
            city: b.city,
            review_count: b.review_count,
            rating: b.rating
        }
",4.970558881759644,,True,,,True,,False,"[HTTP 400][ERR 1501] syntax error, unexpected identifier near 'IS NOT NULL
    LET categories =...' at position 2:19",True,,1.0,,False,execution_error
Q008,find all cities which has a “Taj Mahal” restaurant,simple,document_filter,,,Mistral,mistral:latest,"FOR b IN Businesses
    FILTER b.name == ""Taj Mahal""
        AND EXISTS (
            FOR c IN 1..1 OUTBOUND b BusinessCategory
                FILTER c.category_name == ""Restaurants""
                RETURN 1
        )
    RETURN DISTINCT b.city","
FOR b IN Businesses
    FILTER b.name == ""Taj Mahal""

    RETURN DISTINCT b.city
",3.195516347885132,,True,,No LIMIT detected. A LIMIT is recommended for queries that may return many documents.,True,,False,[HTTP 501][ERR 9] AQL: not implemented: ArangoSearch function 'EXISTS' is designed to be used only within a corresponding SEARCH statement of ArangoSearch view. Please ensure function signature is correct. (exception location: arangod/IResearch/IResearchFeature.cpp:181) [node #12: CalculationNode] (exception location: arangod/Aql/ExecutionBlockImpl.tpp:585) [node #13: FilterNode] (exception location: arangod/Aql/ExecutionBlockImpl.tpp:2669) [node #13: FilterNode] (exception location: arangod/Aql/ExecutionBlockImpl.tpp:585) [node #15: CollectNode] (exception location: arangod/Aql/ExecutionBlockImpl.tpp:585) [node #16: ReturnNode] (exception location: arangod/Aql/ExecutionBlockImpl.tpp:585) (while executing) (exception location: arangod/RestHandler/RestCursorHandler.cpp:381),True,,1.0,,False,execution_error
Q009,find the total checkins in Moroccan restaurants in Los Angeles,advanced,graph_aggregation,,,Mistral,mistral:latest,"FOR b IN Businesses
    FILTER b.city == ""Los Angeles""

    LET categories = (
        FOR c IN 1..1 OUTBOUND b BusinessCategory
            RETURN c.category_name
    )

    FILTER ""Moroccan"" IN categories

    LET checkins = (
        FOR ch IN 1..1 OUTBOUND b BusinessCheckin
            RETURN ch.count
    )

    RETURN SUM(checkins)","
LET values = (
    FOR b IN Businesses
        FILTER b.city == ""Los Angeles""

        LET categories = (
            FOR c IN 1..1 OUTBOUND b BusinessCategory
                RETURN c.category_name
        )

        FILTER ""Moroccan"" IN categories
        FILTER ""Restaurants"" IN categories

        FOR ch IN 1..1 OUTBOUND b BusinessCheckin
            RETURN ch.count
)

RETURN SUM(values)
",4.304125785827637,,True,,,True,,True,,True,,1.0,0.0,False,semantic_result_mismatch
Q010,find the total checkins in Moroccan restaurants in Los Angeles on Fridays,advanced,graph_aggregation,,,Mistral,mistral:latest,"FOR b IN Businesses
    FILTER b.city == ""Los Angeles""

    LET categories = (
        FOR c IN 1..1 OUTBOUND b BusinessCategory
            RETURN c.category_name
    )

    FILTER ""Moroccan"" IN categories
    FILTER ""Restaurants"" IN categories

    LET fridayCheckins = (
        FOR ch IN 1..1 OUTBOUND b BusinessCheckin
            FILTER ch.day == ""Friday""
            RETURN ch.count
    )

    RETURN SUM(fridayCheckins)","
LET values = (
    FOR b IN Businesses
        FILTER b.city == ""Los Angeles""

        LET categories = (
            FOR c IN 1..1 OUTBOUND b BusinessCategory
                RETURN c.category_name
        )

        FILTER ""Moroccan"" IN categories
        FILTER ""Restaurants"" IN categories

        FOR ch IN 1..1 OUTBOUND b BusinessCheckin
            FILTER ch.day == ""Friday""
            RETURN ch.count
)

RETURN SUM(values)
",5.137310266494751,,True,,,True,,True,,True,,1.0,0.0,False,semantic_result_mismatch
