question_id,question,model,model_name,generated_aql,generation_time,generation_error
Q001,Give me all the moroccan restaurants in Texas,Mistral,mistral:latest,"FOR b IN Businesses
    LET categories = (
        FOR c IN 1..1 OUTBOUND b BusinessCategory
            RETURN c.category_name
    )
    FILTER ""Moroccan"" IN categories
    FILTER ""Restaurants"" IN categories
    FILTER b.state == ""Texas""
    RETURN b",8.247130870819092,
Q002,List all the Italian restaurants in Los Angeles,Mistral,mistral:latest,"FOR b IN Businesses
    FILTER b.city == ""Los Angeles""

    LET categories = (
        FOR c IN 1..1 OUTBOUND b BusinessCategory
            RETURN c.category_name
    )

    FILTER ""Italian"" IN categories
    FILTER ""Restaurants"" IN categories

    RETURN b",14.496273517608644,
Q003,find the number of preschools in Madison,Mistral,mistral:latest,"LET preschools = (
    FOR b IN Businesses
        FILTER b.city == ""Madison""

        LET categories = (
            FOR c IN 1..1 OUTBOUND b BusinessCategory
                RETURN c.category_name
        )

        FILTER ""Preschool"" IN categories

        RETURN DISTINCT b._id
)

RETURN LENGTH(preschools)",3.9142699241638175,
Q004,List all the restaurants rated more than 3.5,Mistral,mistral:latest,"FOR b IN Businesses
FILTER b.rating > 3.5
RETURN b",1.7939469814300537,
Q005,List all the businesses with more than 4.5 stars,Mistral,mistral:latest,"FOR b IN Businesses
FILTER b.rating > 4.5
RETURN {
    business_id: b.business_id,
    name: b.name,
    city: b.city,
    state: b.state,
    rating: b.rating
}",2.85848331451416,
Q006,find the number of restaurants rated more than 3.5,Mistral,mistral:latest,"LET restaurants = (
    FOR b IN Businesses
        FILTER b.rating > 3.5
        FILTER b.is_open == true

        FOR c IN 1..1 OUTBOUND b BusinessCategory
            FILTER c.category_name == ""Restaurants""
            RETURN DISTINCT b._id
)

RETURN LENGTH(restaurants)",3.7851154804229736,
Q007,Which Thai restaurant has the most number of reviews,Mistral,mistral:latest,"FOR b IN Businesses
    FILTER b.city IS NOT NULL
    LET categories = (
        FOR c IN 1..1 OUTBOUND b BusinessCategory
            RETURN c.category_name
    )
    FILTER ""Thai"" IN categories
    FILTER ""Restaurants"" IN categories
    SORT b.review_count DESC
    LIMIT 1
    RETURN {
        business_id: b.business_id,
        name: b.name,
        rating: b.rating,
        review_count: b.review_count
    }",4.970558881759644,
Q008,find all cities which has a “Taj Mahal” restaurant,Mistral,mistral:latest,"FOR b IN Businesses
    FILTER b.name == ""Taj Mahal""
        AND EXISTS (
            FOR c IN 1..1 OUTBOUND b BusinessCategory
                FILTER c.category_name == ""Restaurants""
                RETURN 1
        )
    RETURN DISTINCT b.city",3.195516347885132,
Q009,find the total checkins in Moroccan restaurants in Los Angeles,Mistral,mistral:latest,"FOR b IN Businesses
    FILTER b.city == ""Los Angeles""

    LET categories = (
        FOR c IN 1..1 OUTBOUND b BusinessCategory
            RETURN c.category_name
    )

    FILTER ""Moroccan"" IN categories

    LET checkins = (
        FOR ch IN 1..1 OUTBOUND b BusinessCheckin
            RETURN ch.count
    )

    RETURN SUM(checkins)",4.304125785827637,
Q010,find the total checkins in Moroccan restaurants in Los Angeles on Fridays,Mistral,mistral:latest,"FOR b IN Businesses
    FILTER b.city == ""Los Angeles""

    LET categories = (
        FOR c IN 1..1 OUTBOUND b BusinessCategory
            RETURN c.category_name
    )

    FILTER ""Moroccan"" IN categories
    FILTER ""Restaurants"" IN categories

    LET fridayCheckins = (
        FOR ch IN 1..1 OUTBOUND b BusinessCheckin
            FILTER ch.day == ""Friday""
            RETURN ch.count
    )

    RETURN SUM(fridayCheckins)",5.137310266494751,
Q011,find the total checkins in Moroccan restaurants in Los Angeles per day,Mistral,mistral:latest,"LET values = (
    FOR b IN Businesses
        FILTER b.city == ""Los Angeles""

        LET categories = (
            FOR c IN 1..1 OUTBOUND b BusinessCategory
                RETURN c.category_name
        )

        FILTER ""Moroccan"" IN categories
        FILTER ""Restaurants"" IN categories

        FOR ch IN 1..1 OUTBOUND b BusinessCheckin
            RETURN ch.day, SUM(ch.count)
)

RETURN MAP(x => x[1], values), MAP(x => x[2], values)",5.374572515487671,
