question_id,question,difficulty,question_type,intent,comparison_method,model,model_name,generated_aql,gold_aql,generation_time,generation_error,validation_valid,validation_errors,validation_warnings,privacy_allowed,sensitive_fields,executed,execution_error,gold_executed,gold_execution_error,gold_result_count,generated_result_count,functional_correct,error_category,approach,agent_corrected,agent_correction_attempts,original_aql,final_aql
Q001,Give me all the moroccan restaurants in Texas,medium,graph_filter,,,Mistral,mistral:latest,"FOR b IN Businesses
FILTER b.name FILTERED_JSON_OBJECT(@.business_type, 'Restaurants') AND b.state == ""Texas""
FILTER b.name FILTERED_JSON_OBJECT(@.category, 'Moroccan')
RETURN b

Here, `FILTERED_JSON_OBJECT` is a custom function that extracts a specific property from the `name` field of the document, assuming that the name of the business follows the pattern: `{business_type} {business_name}`. This pattern allows for easier filtering of specific types of businesses (in this case, restaurants) and categories.","
FOR b IN Businesses
    FILTER b.state == ""Texas""

    FOR c IN 1..1 OUTBOUND b BusinessCategory
        FILTER c.category_name == ""Moroccan""

        RETURN DISTINCT {
            business_id: b.business_id,
            name: b.name,
            city: b.city,
            state: b.state,
            rating: b.rating
        }
",5.1252217292785645,,True,,No LIMIT detected. A LIMIT is recommended for queries that may return many documents.,True,,False,"[HTTP 400][ERR 1501] syntax error, unexpected identifier near 'FILTERED_JSON_OBJECT(@.business_...' at position 2:15",True,,0.0,,False,execution_error,RAG + Agent,False,0,"FOR b IN Businesses
FILTER b.name FILTERED_JSON_OBJECT(@.business_type, 'Restaurants') AND b.state == ""Texas""
FILTER b.name FILTERED_JSON_OBJECT(@.category, 'Moroccan')
RETURN b

Here, `FILTERED_JSON_OBJECT` is a custom function that extracts a specific property from the `name` field of the document, assuming that the name of the business follows the pattern: `{business_type} {business_name}`. This pattern allows for easier filtering of specific types of businesses (in this case, restaurants) and categories.","FOR b IN Businesses
FILTER b.name FILTERED_JSON_OBJECT(@.business_type, 'Restaurants') AND b.state == ""Texas""
FILTER b.name FILTERED_JSON_OBJECT(@.category, 'Moroccan')
RETURN b

Here, `FILTERED_JSON_OBJECT` is a custom function that extracts a specific property from the `name` field of the document, assuming that the name of the business follows the pattern: `{business_type} {business_name}`. This pattern allows for easier filtering of specific types of businesses (in this case, restaurants) and categories."
Q002,List all the Italian restaurants in Los Angeles,medium,graph_filter,,,Mistral,mistral:latest,"FOR b IN Businesses
    FILTER b.city == ""Los Angeles""

    LET categories = (
        FOR c IN 1..1 OUTBOUND b BusinessCategory
            RETURN c.category_name
    )

    FILTER ""Italian"" IN categories
    FILTER ""Restaurants"" IN categories

    RETURN b","
FOR b IN Businesses
    FILTER b.city == ""Los Angeles""

    FOR c IN 1..1 OUTBOUND b BusinessCategory
        FILTER c.category_name == ""Italian""

        RETURN DISTINCT {
            business_id: b.business_id,
            name: b.name,
            city: b.city,
            rating: b.rating
        }
",3.8873987197875977,,True,,No LIMIT detected. A LIMIT is recommended for queries that may return many documents.,True,,True,,True,,0.0,0.0,True,correct,RAG + Agent,False,0,"FOR b IN Businesses
    FILTER b.city == ""Los Angeles""

    LET categories = (
        FOR c IN 1..1 OUTBOUND b BusinessCategory
            RETURN c.category_name
    )

    FILTER ""Italian"" IN categories
    FILTER ""Restaurants"" IN categories

    RETURN b","FOR b IN Businesses
    FILTER b.city == ""Los Angeles""

    LET categories = (
        FOR c IN 1..1 OUTBOUND b BusinessCategory
            RETURN c.category_name
    )

    FILTER ""Italian"" IN categories
    FILTER ""Restaurants"" IN categories

    RETURN b"
Q003,find the number of preschools in Madison,medium,graph_count,,,Mistral,mistral:latest,"LET matching_businesses = (
    FOR b IN Businesses
        FILTER b.city == ""Madison""

        FOR c IN 1..1 OUTBOUND b BusinessCategory
            FILTER c.category_name == ""Preschools""

            RETURN DISTINCT b._id
)

RETURN LENGTH(matching_businesses)","
LET preschools = (
    FOR b IN Businesses
        FILTER b.city == ""Madison""

        FOR c IN 1..1 OUTBOUND b BusinessCategory
            FILTER c.category_name == ""Preschools""

            RETURN DISTINCT b._id
)

RETURN LENGTH(preschools)
",3.1706700325012207,,True,,,True,,True,,True,,1.0,1.0,True,correct,RAG + Agent,True,0,"LET businesses = (
    FOR b IN Businesses
        FILTER b.city == ""Madison""
        FILTER b.category_name IN [
            ""Preschool"",
            ""Preschools""
        ]

        RETURN DISTINCT b._id
)

RETURN LENGTH(businesses)","LET matching_businesses = (
    FOR b IN Businesses
        FILTER b.city == ""Madison""

        FOR c IN 1..1 OUTBOUND b BusinessCategory
            FILTER c.category_name == ""Preschools""

            RETURN DISTINCT b._id
)

RETURN LENGTH(matching_businesses)"
Q004,List all the restaurants rated more than 3.5,medium,graph_filter,,,Mistral,mistral:latest,"FOR b IN Businesses
FILTER b.rating > 3.5
RETURN b","
FOR b IN Businesses
    FILTER b.rating > 3.5

    FOR c IN 1..1 OUTBOUND b BusinessCategory
        FILTER c.category_name == ""Restaurants""

        RETURN DISTINCT {
            business_id: b.business_id,
            name: b.name,
            city: b.city,
            rating: b.rating
        }
",1.353764295578003,,True,,No LIMIT detected. A LIMIT is recommended for queries that may return many documents.,True,,True,,True,,10605.0,44066.0,False,semantic_result_mismatch,RAG + Agent,False,0,"FOR b IN Businesses
FILTER b.rating > 3.5
RETURN b","FOR b IN Businesses
FILTER b.rating > 3.5
RETURN b"
Q005,List all the businesses with more than 4.5 stars,simple,document_filter,,,Mistral,mistral:latest,"FOR b IN Businesses
FILTER b.rating > 4.5

RETURN {
    business_id: b.business_id,
    name: b.name,
    city: b.city,
    state: b.state,
    rating: b.rating
}","
FOR b IN Businesses
    FILTER b.rating > 4.5

    RETURN {
        business_id: b.business_id,
        name: b.name,
        city: b.city,
        state: b.state,
        rating: b.rating
    }
",2.759927749633789,,True,,No LIMIT detected. A LIMIT is recommended for queries that may return many documents.,True,,True,,True,,12964.0,12964.0,True,correct,RAG + Agent,False,0,"FOR b IN Businesses
FILTER b.rating > 4.5

RETURN {
    business_id: b.business_id,
    name: b.name,
    city: b.city,
    state: b.state,
    rating: b.rating
}","FOR b IN Businesses
FILTER b.rating > 4.5

RETURN {
    business_id: b.business_id,
    name: b.name,
    city: b.city,
    state: b.state,
    rating: b.rating
}"
Q006,find the number of restaurants rated more than 3.5,medium,graph_count,,,Mistral,mistral:latest,"LET restaurants = (
    FOR b IN Businesses
        FILTER b.rating > 3.5
        FOR c IN 1..1 OUTBOUND b BusinessCategory
            FILTER c.category_name == ""Restaurants""
            RETURN DISTINCT b._id
)

RETURN LENGTH(restaurants)","
LET restaurants = (
    FOR b IN Businesses
        FILTER b.rating > 3.5

        FOR c IN 1..1 OUTBOUND b BusinessCategory
            FILTER c.category_name == ""Restaurants""

            RETURN DISTINCT b._id
)

RETURN LENGTH(restaurants)
",7.4811506271362305,,True,,,True,,True,,True,,1.0,1.0,True,correct,RAG + Agent,True,1,"LET restaurants = (
    FOR b IN Businesses
        FILTER b.categories.category_name == ""Restaurants""
        FILTER b.rating > 3.5
        RETURN DISTINCT b._id
)

RETURN LENGTH(restaurants)","LET restaurants = (
    FOR b IN Businesses
        FILTER b.rating > 3.5
        FOR c IN 1..1 OUTBOUND b BusinessCategory
            FILTER c.category_name == ""Restaurants""
            RETURN DISTINCT b._id
)

RETURN LENGTH(restaurants)"
Q007,Which Thai restaurant has the most number of reviews,medium,graph_sort_limit,,,Mistral,mistral:latest,"FOR b IN Businesses
    LET categories = (
        FOR c IN 1..1 OUTBOUND b BusinessCategory
            RETURN c.category_name
    )
    FILTER ""Thai"" IN categories
    FILTER b.city == ""Dallas""
    SORT b.review_count DESC
    LIMIT 1

    RETURN {
        business_id: b.business_id,
        name: b.name,
        rating: b.rating,
        review_count: b.review_count
    }","
FOR b IN Businesses

    FOR c IN 1..1 OUTBOUND b BusinessCategory
        FILTER c.category_name == ""Thai""

        SORT b.review_count DESC
        LIMIT 1

        RETURN {
            business_id: b.business_id,
            name: b.name,
            city: b.city,
            review_count: b.review_count,
            rating: b.rating
        }
",9.695860624313354,,True,,,True,,True,,True,,1.0,0.0,False,semantic_result_mismatch,RAG + Agent,True,1,"FOR b IN Businesses
    FILTER b.category_name == ""Thai"" AND b.city == ""Dallas""

    SORT b.review_count DESC
    LIMIT 1

    RETURN {
        business_id: b.business_id,
        name: b.name,
        rating: b.rating,
        review_count: b.review_count
    }","FOR b IN Businesses
    LET categories = (
        FOR c IN 1..1 OUTBOUND b BusinessCategory
            RETURN c.category_name
    )
    FILTER ""Thai"" IN categories
    FILTER b.city == ""Dallas""
    SORT b.review_count DESC
    LIMIT 1

    RETURN {
        business_id: b.business_id,
        name: b.name,
        rating: b.rating,
        review_count: b.review_count
    }"
Q008,find all cities which has a “Taj Mahal” restaurant,simple,document_filter,,,Mistral,mistral:latest,"FOR b IN Businesses
FILTER b.name == ""Taj Mahal"" AND b.is_open == true
LET city = b.city
RETURN DISTINCT city

For the given schema, the AQL query finds all cities where a business named ""Taj Mahal"" exists and is open. The `LET` statement is used to store the city name for the final `RETURN` statement.","
FOR b IN Businesses
    FILTER b.name == ""Taj Mahal""

    RETURN DISTINCT b.city
",3.855763912200928,,True,,No LIMIT detected. A LIMIT is recommended for queries that may return many documents.,True,,False,"[HTTP 400][ERR 1501] syntax error, unexpected FOR declaration, expecting end of query string near 'For the given schema, the AQL qu...' at position 6:1",True,,1.0,,False,execution_error,RAG + Agent,False,0,"FOR b IN Businesses
FILTER b.name == ""Taj Mahal"" AND b.is_open == true
LET city = b.city
RETURN DISTINCT city

For the given schema, the AQL query finds all cities where a business named ""Taj Mahal"" exists and is open. The `LET` statement is used to store the city name for the final `RETURN` statement.","FOR b IN Businesses
FILTER b.name == ""Taj Mahal"" AND b.is_open == true
LET city = b.city
RETURN DISTINCT city

For the given schema, the AQL query finds all cities where a business named ""Taj Mahal"" exists and is open. The `LET` statement is used to store the city name for the final `RETURN` statement."
Q009,find the total checkins in Moroccan restaurants in Los Angeles,advanced,graph_aggregation,,,Mistral,mistral:latest,"FOR b IN Businesses
    FILTER b.state == ""California"" AND b.city == ""Los Angeles""
    FOR c IN 1..1 OUTBOUND b BusinessCategory
        FILTER c.category_name == ""Moroccan""

    FOR ch IN 1..INFINITY OUTBOUND c BusinessCheckin
        RETURN SUM(ch.count)","
LET values = (
    FOR b IN Businesses
        FILTER b.city == ""Los Angeles""

        LET categories = (
            FOR c IN 1..1 OUTBOUND b BusinessCategory
                RETURN c.category_name
        )

        FILTER ""Moroccan"" IN categories
        FILTER ""Restaurants"" IN categories

        FOR ch IN 1..1 OUTBOUND b BusinessCheckin
            RETURN ch.count
)

RETURN SUM(values)
",10.601553678512571,,True,,,True,,False,[HTTP 404][ERR 1203] collection or view not found: INFINITY,True,,1.0,,False,execution_error,RAG + Agent,True,1,"FOR b IN Businesses
    FILTER b.city == ""Los Angeles"" AND b.state == ""California"" AND b.category_name == ""Moroccan""

    FOR ch IN 1..INFINITY OUTBOUND b BusinessCheckin
        RETURN SUM(ch.count)","FOR b IN Businesses
    FILTER b.state == ""California"" AND b.city == ""Los Angeles""
    FOR c IN 1..1 OUTBOUND b BusinessCategory
        FILTER c.category_name == ""Moroccan""

    FOR ch IN 1..INFINITY OUTBOUND c BusinessCheckin
        RETURN SUM(ch.count)"
Q010,find the total checkins in Moroccan restaurants in Los Angeles on Fridays,advanced,graph_aggregation,,,Mistral,mistral:latest,"FOR b IN Businesses
    FILTER b.city == ""Los Angeles""

    LET categories = (
        FOR c IN 1..1 OUTBOUND b BusinessCategory
            RETURN c.category_name
    )

    FILTER ""Moroccan"" IN categories
    FILTER ""Restaurants"" IN categories

    FOR ch IN 1..1 OUTBOUND b BusinessCheckin
        FILTER ch.day == ""Friday""
        COLLECT total_checkins = SUM(ch.count)

    RETURN total_checkins","
LET values = (
    FOR b IN Businesses
        FILTER b.city == ""Los Angeles""

        LET categories = (
            FOR c IN 1..1 OUTBOUND b BusinessCategory
                RETURN c.category_name
        )

        FILTER ""Moroccan"" IN categories
        FILTER ""Restaurants"" IN categories

        FOR ch IN 1..1 OUTBOUND b BusinessCheckin
            FILTER ch.day == ""Friday""
            RETURN ch.count
)

RETURN SUM(values)
",6.219323396682739,,True,,No LIMIT detected. A LIMIT is recommended for queries that may return many documents.,True,,True,,True,,1.0,0.0,False,semantic_result_mismatch,RAG + Agent,False,0,"FOR b IN Businesses
    FILTER b.city == ""Los Angeles""

    LET categories = (
        FOR c IN 1..1 OUTBOUND b BusinessCategory
            RETURN c.category_name
    )

    FILTER ""Moroccan"" IN categories
    FILTER ""Restaurants"" IN categories

    FOR ch IN 1..1 OUTBOUND b BusinessCheckin
        FILTER ch.day == ""Friday""
        COLLECT total_checkins = SUM(ch.count)

    RETURN total_checkins","FOR b IN Businesses
    FILTER b.city == ""Los Angeles""

    LET categories = (
        FOR c IN 1..1 OUTBOUND b BusinessCategory
            RETURN c.category_name
    )

    FILTER ""Moroccan"" IN categories
    FILTER ""Restaurants"" IN categories

    FOR ch IN 1..1 OUTBOUND b BusinessCheckin
        FILTER ch.day == ""Friday""
        COLLECT total_checkins = SUM(ch.count)

    RETURN total_checkins"
